rank,artist,date,peak_power_kw,venue,city,distance_km,source
1,Oasis,2009-06-17,215.06,Murrayfield Stadium,Edinburgh,4,BGS
2,Red Hot Chili Peppers,2004-06-14,106.87,Murrayfield Stadium,Edinburgh,4,BGS
3,Kings of Leon,2011-06-26,96.18,Murrayfield Stadium,Edinburgh,4,BGS
4,Taylor Swift,2024-06-08,82.56,Murrayfield Stadium,Edinburgh,4,BGS
5,Foo Fighters,2015-09-08,78.65,Murrayfield Stadium,Edinburgh,4,BGS
6,Harry Styles,2023-05-26,65.38,Murrayfield Stadium,Edinburgh,4,BGS
7,Beyonce,2023-05-20,29.31,Murrayfield Stadium,Edinburgh,4,BGS
8,Robbie Williams,2025-05-31,14.18,Murrayfield Stadium,Edinburgh,4,BGS
9,Bon Jovi,2011-06-22,13.20,Murrayfield Stadium,Edinburgh,4,BGS
10,Spice Girls,2019-06-08,10.63,Murrayfield Stadium,Edinburgh,4,BGS
11,One Direction,2014-06-03,6.82,Murrayfield Stadium,Edinburgh,4,BGS
