year,global_live_music_revenue_billion_usd,notes,source
2010,15.0,Estimated based on industry growth rate,Industry estimates/Pollstar
2011,16.2,Estimated,Industry estimates
2012,17.5,Estimated,Industry estimates
2013,18.8,Estimated,Industry estimates
2014,20.2,Estimated,Industry estimates
2015,21.5,Estimated,Industry estimates
2016,23.0,Estimated,Industry estimates
2017,24.5,Estimated,Industry estimates
2018,26.0,Estimated,Industry estimates
2019,28.0,Pre-COVID peak (confirmed),PwC/Live Nation
2020,3.5,COVID collapse -87% (confirmed),PwC/IFPI
2021,8.8,Recovery begins (confirmed),Omdia/Informa
2022,22.0,Strong rebound (confirmed),Statista/IFPI
2023,26.0,Live Nation: new heights (confirmed),Live Nation Q4 2023
2024,28.5,Near full recovery (confirmed),PwC/industry estimates
2025,29.2,2.5% YoY growth - stabilization (confirmed),Omdia/Informa April 2026
2026,30.5,Projected based on growth trend,Estimate from Omdia trend
