country,all_connected_pct,male_connected_pct,female_connected_pct,all_lonely_pct,male_lonely_pct,female_lonely_pct,gender_gap_lonely,year,source,source_url
Afghanistan,62,75,50,50,44,55,11,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Albania,85,83,87,26,23,28,5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Algeria,71,67,75,35,34,35,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Argentina,75,73,77,28,27,28,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Armenia,73,73,73,12,10,13,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Australia,83,77,89,10,13,7,-6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Austria,89,87,89,14,15,13,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Azerbaijan,57,57,57,18,14,22,8,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Bangladesh,86,89,84,39,37,40,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Belgium,78,77,79,13,13,13,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Benin,49,51,47,31,30,32,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Bolivia,55,57,52,31,31,29,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Bosnia and Herzegovina,87,90,84,14,13,16,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Botswana,77,78,76,50,53,48,-5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Brazil,55,59,52,15,16,14,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Bulgaria,83,82,83,24,21,27,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Cambodia,66,65,67,27,25,30,5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Cameroon,58,55,60,22,24,21,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Canada,79,76,81,15,13,16,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Chad,66,68,65,40,35,44,9,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Chile,78,81,75,30,32,28,-4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Colombia,66,69,63,24,23,25,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Comoros,64,68,60,40,43,38,-5,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Costa Rica,73,73,72,22,23,22,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Croatia,75,73,78,18,19,17,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Cyprus,86,89,83,21,17,26,9,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Czech Republic,85,83,87,11,12,11,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Côte d'Ivoire,63,69,58,24,25,23,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Democratic Republic of Congo,62,62,62,21,20,21,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Denmark,86,85,87,7,7,8,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Dominican Republic,47,47,48,17,15,18,3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Ecuador,59,65,53,23,20,26,6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Egypt,88,87,88,22,20,24,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
El Salvador,62,69,57,21,22,21,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Estonia,79,75,83,10,11,9,-2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Eswatini,74,74,74,38,42,35,-7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Ethiopia,84,84,84,36,35,36,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Finland,81,76,85,7,8,7,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
France,81,80,82,20,20,20,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Gabon,56,62,50,22,23,20,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Georgia,72,72,71,9,9,10,1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Germany,84,84,84,6,6,5,-1,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Ghana,78,78,78,37,36,38,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Greece,87,85,90,11,10,12,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Guatemala,57,64,50,25,29,22,-7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Guinea,69,71,66,27,24,31,7,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Honduras,62,65,60,21,22,19,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Hong Kong (S.A.R. of China),53,50,57,9,12,6,-6,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Hungary,86,84,87,18,17,19,2,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Iceland,89,89,90,9,7,11,4,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
India,65,66,64,30,31,28,-3,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
Indonesia,77,76,79,9,9,9,0,2022-2023,Meta-Gallup Global State of Social Connections,https://www.gallup.com/analytics/509675/state-of-social-connections.aspx#ite-513272
