league,sport,country,season,teams,total_attendance,average_attendance,source
National Football League,American football,United States,2025,32,18781145,69048,pro-football-reference.com
Indian Premier League,Cricket,India,2025,10,3766860,41854,IPL official
Premier League,Association football,England,2024-25,20,15074553,40198,ESPN
Bundesliga,Association football,Germany,2024-25,18,11827596,38652,ESPN
Australian Football League,Australian football,Australia,2025,18,8257027,38227,afltables.com
NCAA Division I FBS,College football,United States,2025,136,32841048,35360,d1ticker.com/NCAA
Nippon Professional Baseball,Baseball,Japan,2025,12,27040286,31515,npb.jp
Serie A,Association football,Italy,2024-25,20,11530364,30912,ESPN
La Liga,Association football,Spain,2024-25,20,11394949,29986,ESPN
Major League Baseball,Baseball,United States/Canada,2025,30,71409522,29387,baseball-reference.com
Ligue 1,Association football,France,2024-25,18,8200661,27704,ESPN
Campeonato Brasileiro Serie A,Association football,Brazil,2025,20,9964214,26222,worldfootball.net
Canadian Football League,Canadian football,Canada,2025,9,1858266,22941,3downnation.com
Liga MX,Association football,Mexico,2024-25,18,8244861,22045,ESPN
Major League Soccer,Association football,United States/Canada,2025,30,11200000,21988,mlssoccer.com
National Rugby League,Rugby league,Australia/New Zealand,2025,17,4371588,21221,austadiums.com
National Basketball Association,Basketball,United States/Canada,2024-25,30,22328190,18153,basketball-reference.com
National Hockey League,Ice hockey,United States/Canada,2024-25,32,23014458,17542,hockey-reference.com
Top 14,Rugby union,France,2025-26,14,3212877,17090,NewsTank Sport
KBO League,Baseball,South Korea,2025,10,12312519,17001,koreabaseball.com
