year,host,matches,total_spectators,average_per_game,source
1930,Uruguay,18,590549,32808,Statista/RTL (sport.de)
1934,Italy,17,363000,21353,Statista/RTL (sport.de)
1938,France,18,375700,20872,Statista/RTL (sport.de)
1950,Brazil,22,1045246,47511,Statista/RTL (sport.de)
1954,Switzerland,26,768607,29562,Statista/RTL (sport.de)
1958,Sweden,35,819810,23423,Statista/RTL (sport.de)
1962,Chile,32,893172,27912,Statista/RTL (sport.de)
1966,England,32,1563135,48848,Statista/RTL (sport.de)
1970,Mexico,32,1603975,50124,Statista/RTL (sport.de)
1974,West Germany,38,1865753,49099,Statista/RTL (sport.de)
1978,Argentina,38,1545791,40679,Statista/RTL (sport.de)
1982,Spain,52,2109723,40572,Statista/RTL (sport.de)
1986,Mexico,52,2394031,46039,Statista/RTL (sport.de)
1990,Italy,52,2516215,48389,Statista/RTL (sport.de)
1994,United States,52,3587538,68991,Statista/RTL (sport.de)
1998,France,64,2785100,43517,Statista/RTL (sport.de)
2002,South Korea/Japan,64,2705197,42269,Statista/RTL (sport.de)
2006,Germany,64,3359439,52491,Statista/RTL (sport.de)
2010,South Africa,64,3178856,49670,Statista/RTL (sport.de)
2014,Brazil,64,3429876,53592,Statista/RTL (sport.de)
2018,Russia,64,3031768,47371,Statista/RTL (sport.de)
2022,Qatar,64,3404252,53191,Statista/RTL (sport.de)
2026,United States/Canada/Mexico,104,6810960,65490,FIFA/Statista 2026
